,word,score
3569,sable,1046
1784,bales,1046
12495,blase,1046
11602,baels,1046
11201,beals,1046
7990,youse,1051
2170,togae,1052
5274,nosey,1055
3307,noyes,1055
5387,ocrea,1057
678,sorta,1062
5817,skear,1062
12748,roast,1062
1775,asker,1062
9146,ratos,1062
7652,rakes,1062
10204,saker,1062
3855,taros,1062
5865,reaks,1062
10594,kesar,1062
10736,toras,1062
4801,eskar,1062
2741,rotas,1062
2311,savey,1063
12696,teaks,1064
5073,steak,1064
8525,ketas,1064
7254,stake,1064
2830,askoi,1064
2699,skate,1064
2499,takes,1064
2873,eusol,1065
11000,louse,1065
12836,ousel,1065
10840,risen,1066
3529,reins,1066
3248,resin,1066
3499,morae,1066
634,serin,1066
777,rines,1066
10051,siren,1066
9542,rinse,1066
6437,emacs,1069
12314,cames,1069
1735,fanes,1069
1299,acmes,1069
3775,maces,1069
6803,lairs,1070
12494,liars,1070
6265,soyle,1070
4952,laris,1070
12482,rials,1070
4022,arils,1070
7844,liras,1070
552,rails,1070
10733,suave,1071
1188,ourie,1071
1957,uveas,1071
3716,pareo,1073
4731,porae,1073
7272,opera,1073
8411,safer,1074
4492,fares,1074
7898,fears,1074
3175,farse,1074
11321,jasey,1077
1617,auris,1079
9807,auloi,1081
11521,roads,1082
3169,sorda,1082
3878,sarod,1082
9345,dorsa,1082
12869,ouens,1083
2785,shade,1083
5547,heads,1083
9859,deash,1083
1513,ashed,1083
4851,hades,1083
4539,sadhe,1083
5180,olpae,1086
2124,amole,1086
4036,canoe,1088
8668,ocean,1088
5361,snake,1089
11078,skean,1089
2447,sneak,1089
6956,kanes,1089
10619,oaker,1091
12193,paeon,1092
10513,telos,1092
8473,lotes,1092
12337,toles,1092
8719,stole,1092
7456,chase,1093
10214,aches,1093
3745,eyass,1097
6501,heaps,1097
3134,ephas,1097
4506,shape,1097
1052,essay,1097
7904,phase,1097
12412,touse,1098
2353,festa,1099
3147,feast,1099
293,fates,1099
9771,fetas,1099
9992,feats,1099
1582,rotes,1100
9105,resto,1100
706,tores,1100
8272,roset,1100
3565,store,1100
12166,torse,1100
12962,estro,1100
9931,ayrie,1102
1822,aiery,1102
11315,aloed,1105
9362,eyots,1106
8866,owies,1109
10017,lakes,1116
7936,resaw,1116
10165,sware,1116
6343,swear,1116
9174,slake,1116
10166,leaks,1116
8945,sawer,1116
11449,wares,1116
9493,sewar,1116
10819,kales,1116
1144,wears,1116
9854,saheb,1118
3203,sepad,1119
8467,spade,1119
6583,spaed,1119
3776,shame,1122
9416,haems,1122
9133,hames,1122
6636,aviso,1122
5941,seton,1127
7510,tones,1127
165,steno,1127
9985,stone,1127
7804,notes,1127
9947,onset,1127
3154,weans,1131
9934,wanes,1131
5758,sewan,1131
8898,oread,1132
6288,fleas,1132
2069,false,1132
1224,oared,1132
11475,adore,1132
860,feals,1132
1275,ileus,1132
8347,leafs,1132
1251,lieus,1132
9751,alefs,1132
10499,audio,1134
6955,raile,1134
2235,ariel,1134
10103,faces,1137
10884,cafes,1137
11108,daris,1138
687,riads,1138
11256,raids,1138
8439,seity,1139
10955,elsin,1139
4188,yites,1139
5871,lines,1139
7555,nelis,1139
11392,lenis,1139
4370,silen,1139
10587,yetis,1139
5660,liens,1139
12012,egads,1141
9619,gades,1141
1276,degas,1141
9556,dames,1142
4639,wetas,1142
12164,waste,1142
467,meads,1142
6413,tawse,1142
8554,mased,1142
3435,twaes,1142
9208,sweat,1142
11547,razes,1145
1460,pebas,1145
9515,syren,1145
12775,peags,1148
1262,pages,1148
11222,gapes,1148
3014,autos,1151
4400,games,1151
12038,egmas,1151
10372,mages,1151
2217,larns,1152
5774,snarl,1152
4696,abore,1152
6630,afore,1152
6262,oaken,1157
9873,senza,1158
1567,nazes,1158
6817,louie,1159
43,stire,1159
942,tries,1159
3926,reist,1159
8288,tires,1159
1142,tiers,1159
1678,rites,1159
12208,resit,1159
7633,avers,1161
587,raves,1161
2332,saver,1161
12057,vares,1161
1295,alews,1162
7459,swale,1162
8918,weals,1162
7958,sabed,1162
6650,wales,1162
6664,based,1162
9410,sweal,1162
12491,beads,1162
7126,jiaos,1163
3381,slyer,1163
6628,lyres,1163
6945,sarin,1165
11679,rajes,1165
1126,rains,1165
8520,airns,1165
11430,ranis,1165
1733,naris,1165
3566,aulos,1168
5735,vanes,1169
5860,naves,1169
2253,avens,1169
8476,beano,1171
10074,raxes,1172
5718,anode,1174
7747,cakes,1175
3904,zetas,1179
11233,airts,1179
4310,raits,1179
9037,artis,1179
10923,stria,1179
3271,tarsi,1179
9225,stair,1179
167,sitar,1179
10286,astir,1179
12557,agone,1179
4857,tiars,1179
2713,genoa,1179
2590,stave,1182
2935,oxies,1182
4335,vesta,1182
8207,irate,1183
12158,retia,1183
3536,terai,1183
9125,solan,1186
10038,salon,1186
6260,loans,1186
9811,sloan,1186
12393,salto,1187
3756,altos,1187
9863,lotas,1187
8590,lotsa,1187
4372,loast,1187
10885,tolas,1187
6671,mahoe,1188
10903,corse,1190
734,orcas,1190
6407,janes,1190
12728,arcos,1190
1872,score,1190
5839,ceros,1190
4445,acros,1190
6433,jeans,1190
3604,oscar,1190
7345,cores,1190
10256,oasis,1191
4910,ossia,1191
8497,bemas,1192
8841,beams,1192
8941,mabes,1192
7838,zeals,1196
12253,lazes,1196
12355,hakes,1197
7540,shake,1197
6540,comae,1198
5996,jeats,1198
6038,cameo,1198
927,tajes,1198
11481,rears,1199
534,rasse,1199
5242,saree,1199
12300,erase,1199
2418,serra,1199
2679,sears,1199
8087,easer,1199
12734,areas,1199
8289,raser,1199
1859,rases,1199
7449,arses,1199
7417,seare,1199
1498,saser,1199
3456,rares,1199
11483,sheaf,1200
12331,datos,1201
1233,cosey,1201
1454,doats,1201
10809,toads,1201
7347,shore,1202
6061,shero,1202
4108,hoser,1202
11417,horse,1202
7578,rohes,1202
3773,heros,1202
12363,shoer,1202
1121,hoers,1202
12125,etuis,1204
10081,texas,1204
3077,taxes,1204
1584,suite,1204
1833,aweto,1205
5552,souce,1205
1229,telia,1205
8231,horas,1207
6422,raine,1207
5829,haros,1207
1533,hoars,1207
2167,istle,1209
12020,steil,1209
216,islet,1209
6134,stile,1209
12324,tiles,1209
12266,lites,1209
11382,teils,1209
9383,nerts,1211
3247,hosey,1211
3851,rents,1211
3450,stern,1211
2931,close,1211
12588,socle,1211
11708,terns,1211
12787,hoaed,1211
10816,coles,1211
11036,alods,1212
7707,odals,1212
6144,loads,1212
8084,rices,1213
6092,erics,1213
9519,icers,1213
7671,cries,1213
11962,loris,1213
3336,loirs,1213
2018,crise,1213
12296,seric,1213
11527,roils,1213
12571,cires,1213
12453,valse,1214
6782,sensa,1214
2085,salve,1214
2019,laves,1214
4554,slave,1214
6046,senas,1214
1394,veals,1214
10981,selva,1214
5784,avels,1214
12376,seans,1214
12386,vales,1214
4642,levas,1214
2334,senna,1214
11075,ansae,1214
9120,sanes,1214
10894,scone,1215
11383,sonce,1215
5699,onces,1215
10622,cones,1215
12768,poake,1223
2632,rules,1226
8562,lures,1226
3900,holes,1226
5410,morse,1226
3791,sheol,1226
4236,smore,1226
10190,moers,1226
10283,mores,1226
12683,helos,1226
8260,luser,1226
12198,omers,1226
3338,hosel,1226
2568,state,1227
9890,testa,1227
74,etats,1227
4593,tasse,1227
10157,taste,1227
2004,toaze,1227
6491,house,1227
4391,setae,1227
926,sates,1227
9488,tates,1227
940,azote,1227
4995,tease,1227
3542,asset,1227
2730,tases,1227
2053,teats,1227
10710,easts,1227
6777,seats,1227
9650,kades,1228
11768,asked,1228
601,ovate,1230
3126,obeah,1230
5258,bohea,1230
9035,heirs,1231
9787,shire,1231
6395,hires,1231
8344,sehri,1231
4316,rhies,1231
10743,shier,1231
8206,shone,1232
8850,hones,1232
7513,hosen,1232
6336,peaks,1233
7488,spake,1233
7503,axels,1233
388,speak,1233
4458,axles,1233
8356,laxes,1233
563,safed,1234
7520,miaou,1234
8280,fades,1234
8040,roams,1236
9222,moras,1236
7893,nurse,1237
9179,runes,1237
8318,lynes,1238
10133,alowe,1239
3049,ariot,1240
3156,ratio,1240
11373,nomes,1241
12902,omens,1241
5558,meson,1241
1504,samek,1242
6947,sayon,1242
5401,makes,1242
1652,lards,1242
4204,kames,1242
5800,kasme,1242
48,santo,1245
2407,omega,1246
5697,sargo,1246
10037,agros,1246
10096,goras,1246
1100,paedo,1246
9777,apode,1246
6801,fames,1249
11525,ropes,1251
8443,slart,1251
12286,pores,1251
